Type,From,To
list,partition,Toilet Partition
list,pdu,Power Distribution Unit
list,plaster,Plaster
list,plumbing fixture,Toilet|Urinal|Lavatory|Sink|Shower
list,pump,Centrifugal Pump
list,rack,Pallet Rack|Cantilever Rack
list,rectifier,Rectifier
list,ro system,Reverse Osmosis System
list,roofing,Built Up Roofing|Single Ply Roofing|Metal Roofing|Shingle Roofing
list,rtu,Rooftop Unit
list,sand interceptor,Sand Interceptor
list,security,Access Control System|Video Surveillance System
list,shelving,Metal Shelving|Wire Shelving
list,siding,Metal Siding|Vinyl Siding|Wood Siding|Fiber Cement Siding
list,signage,Exterior Signage|Interior Signage
list,skylight,Skylight
list,speed door,High Speed Door
list,sprinkler,Dry Pipe Sprinkler System|Wet Pipe Sprinkler System
list,standpipe,Standpipe System
list,steel,Structural Steel
list,switchgear,Low Voltage Switchgear|Medium Voltage Switchgear
list,toilet accessory,Grab Bar|Paper Towel Dispenser|Soap Dispenser|Toilet Paper Dispenser
list,transformer,Dry Type Transformer|Liquid Filled Transformer
list,turnstile,Turnstile
list,uninterrupted power supply,Uninterruptible Power Supply
list,ups,Uninterruptible Power Supply
list,uv system,UV Water Treatment System
list,vfd,Variable Frequency Drive
list,vrf,Variable Refrigerant Flow System
list,water heater,Commercial Gas Water Heater|Electric Water Heater
list,water softener,Water Softener
list,window,Fixed Window|Operable Window
list,wood,Rough Carpentry|Finish Carpentry
phrase,glycol system,glycol
list,fire pull box,Fire System Interface Devices Bells Horns Pulls Strobes
list,smoke detector,Fire System Interface Devices Bells Horns Pulls Strobes
list,fire strobe,Fire System Interface Devices Bells Horns Pulls Strobes
